"","date","hour.ending","hour","solarTCR1","solarTCR2","solarTCR3","solarTCR4","solarTCR5","windTCR1","windTCR2","windTCR3","windTCR4","windTCR5"
"4595",2019-07-11,11,4595,1230.50364480319,0,572.515660300849,0,1223.68427548287,717.283843035603,0,426.483501797987,0,16.5860692035569
"4596",2019-07-11,12,4596,1308.53980007779,0,514.074606187925,0,1323.51218649116,766.026166188971,0,506.092789554603,0,27.3374985048263
"4597",2019-07-11,13,4597,1245.98513784357,0,487.94987090792,0,1474.01848266712,1243.36463122317,0,512.75456623159,0,34.8372213418754
"4598",2019-07-11,14,4598,920.454657280509,0,487.539653657395,0,1368.98432311993,2477.48096105422,0,375.682549612355,0,71.320844807726
"4599",2019-07-11,15,4599,1103.97976767118,0,348.691760130919,0,1333.45231175031,4888.10047786031,0,298.587652418462,0,160.053450655768
"4600",2019-07-11,16,4600,694.545357821601,0,279.982499823182,0,1439.9823153899,5045.74626842701,0,336.243141337996,0,112.153361024652
"4601",2019-07-11,17,4601,597.884259143103,0,245.483087110304,0,1254.23098642232,6344.8023175416,0,593.821777927937,0,88.5146630555339
"4602",2019-07-11,18,4602,475.158717867015,0,155.238130868405,0,858.20816768567,7787.16843215217,0,620.640937771629,0,123.932234919174
"4603",2019-07-11,19,4603,410.167881601065,0,86.6552004405874,0,628.604988219971,8874.28567088556,0,607.622250500291,0,183.365857129817
"4604",2019-07-11,20,4604,231.803268890524,0,9.5882959422131,0,96.0946498608879,8605.47581233333,0,600.347723181968,0,281.255796425355
"4605",2019-07-11,21,4605,16.5031144085241,0,-1.2051018882219,0,-1.34854535324625,7458.296089327,0,621.715515251016,0,239.479276570023
"4606",2019-07-11,22,4606,-5.10810684073366,0,-1.61106082818829,0,-2.9307369823845,7151.42921317232,0,439.794981247698,0,210.032091833718
"4607",2019-07-11,23,4607,-5.4224518770865,0,-1.53299180127167,0,-2.86978577997789,7731.03947866614,0,574.835563474721,0,201.452618133215
"4608",2019-07-11,24,4608,-5.23908393921401,0,-1.55428335406711,0,-3.02216378599441,6050.65400058341,0,573.848521801239,0,48.5202925492248
"4609",2019-07-12,1,4609,-5.65821065435113,0,-1.49608644309291,0,-2.40757249506109,4711.01438028568,0,374.396678808369,0,60.1434930205265
"4610",2019-07-12,2,4610,-5.39625645739043,0,-1.52731405385956,0,-2.50153893210462,3650.01201116047,0,436.610488998391,0,135.542981516618
"4611",2019-07-12,3,4611,-5.4224518770865,0,-1.51311968532926,0,-2.28313045681427,3399.11108503501,0,533.986526877683,0,191.352526434698
"4612",2019-07-12,4,4612,-5.4224518770865,0,-1.50176419050503,0,-2.65391693812114,2935.16893041249,0,589.46611696514,0,267.313684641767
"4613",2019-07-12,5,4613,-5.44864729678257,0,-1.49324756938685,0,-2.31106642458396,2502.14166824499,0,526.693888702966,0,218.848189137516
"4614",2019-07-12,6,4614,-5.50103813617471,0,-1.60112477021708,0,-2.37201762699057,2102.92475467336,0,462.28866488925,0,120.521118869576
"4615",2019-07-12,7,4615,51.971712677003,0,23.5186492178429,0,34.5745695651495,1742.09515518247,0,457.507398801191,0,92.4974119151956
"4616",2019-07-12,8,4616,334.567900358207,0,125.448409633879,0,160.60133907455,1214.13982724149,0,473.535506710027,0,121.999393696473
"4617",2019-07-12,9,4617,863.374837762773,0,302.790011177657,0,518.958854357346,651.867982075569,0,505.618888812289,0,136.114614326682
"4618",2019-07-12,10,4618,1335.88781824048,0,478.605718104428,0,978.871231383289,366.200134436593,0,560.600430348908,0,117.486109810478
"4619",2019-07-12,11,4619,1505.79131038919,0,633.000703482134,0,1275.96516934714,621.364887827255,0,660.810817253887,0,106.829329950526
"4620",2019-07-12,12,4620,1771.62242946491,0,717.352157910255,0,1363.16602292353,912.742146019529,0,833.808736007013,0,108.805759731728
