X,Y,FID,Plant_Name,Owner,Operator,City,State,County,ZipCode,Period,Cap_MMcfd,Plant_Flow,BTU_Conten,Dry_Stor,NGL_Stor,Longitude,Latitude,Source
-97.85359,28.55857,398,Silver Oak Plant 1,APL South Tex Processing Company LP,TPL South Tex Processing Company LP,Tuleta,TX,Bee,78162,2017,260,179,1292,0,0,-97.85359,28.55857,"EIA-757, Natural Gas Processing Plant Survey"
-108.93586,44.97069,399,Silvertip,Incremental Oil and Gas,Incremental Oil and Gas,Powell,WY,Park,82435,2017,5,5,0,0,2140,-108.93586,44.97069,"EIA-757, Natural Gas Processing Plant Survey"
-108.31179,40.95077,400,Skull Creek Dew Point,Dominion Energy Questar Pipeline,Dominion Energy Questar Pipeline,Craig,CO,Moffat,81625,2017,45,20,1108,0,1428,-108.31179,40.95077,"EIA-757, Natural Gas Processing Plant Survey"
-102.55952,33.46809,401,Slaughter Gasoline Plant,Oxy,OXY,Sundown,TX,Hockley,79372,2017,35,30,1400,0,446000,-102.55952,33.46809,"EIA-757, Natural Gas Processing Plant Survey"
-102.56162,33.459,402,Slaughter Gasoline Plant (Mallet),Oxy,OXY,Sundown,TX,Hockley,79372,2017,345,340,1250,0,2200,-102.56162,33.459,"EIA-757, Natural Gas Processing Plant Survey"
-93.53111,32.51583,403,Sligo Processing Facility,Enable Midstream Partners,Enable Midstream Partners,Haughton,LA,Bossier,71037,2017,230,140,1100,0,7857,-93.53111,32.51583,"EIA-757, Natural Gas Processing Plant Survey"
-82.08443,37.92629,404,Smokehouse,"Core Appalachia Operating, LLC","Core Appalachia Operating, LLC",Chapmanville,WV,Logan,25508,2017,13,7,1279,0,2142,-82.08443,37.92629,"EIA-757, Natural Gas Processing Plant Survey"
-100.95875,32.75157,405,Snyder Gasoline Plant,ExxonMobil Corporation,Kinder Morgan CO2,Snyder,TX,Scurry,79549,2017,90,59,1300,0,1000,-100.95875,32.75157,"EIA-757, Natural Gas Processing Plant Survey"
-100.64732,30.29943,406,Sonora Plant,Enterprise Hydrocarbons LP,Enterprise Products Operating LLC,Sonora,TX,Sutton,76950,2017,120,95,1141,0,750,-100.64732,30.29943,"EIA-757, Natural Gas Processing Plant Survey"
-98.11164,35.51074,407,South Canadian,Enable Products LLC,Enable Products LLC,Calumet,OK,Canadian,73014,2017,200,200,1152,0,0,-98.11164,35.51074,"EIA-757, Natural Gas Processing Plant Survey"
-104.13631,32.31319,408,South Carlsbad Dew Point Plant,Enterprise Field Services LLC,Enterprise Products Operating LLC,Loving,NM,Eddy,88256,2017,200,50,1060,0,1200,-104.13631,32.31319,"EIA-757, Natural Gas Processing Plant Survey"
-103.82968,32.16269,409,South Eddy Cryo Plant,Enterprise Field Services LLC,Enterprise Products Operating LLC,Malaga,NM,Eddy,88263,2017,200,200,1246,0,0,-103.82968,32.16269,"EIA-757, Natural Gas Processing Plant Survey"
-101.46667,30.44583,410,Southwest Ozona,"DCP Operating Company, LP","DCP Operating Company, LP",Ozona,TX,Crockett,76943-1029,2017,90,85,1160,0,1429,-101.46667,30.44583,"EIA-757, Natural Gas Processing Plant Survey"
-101.04801,36.0858,411,Spearman Plant,ETC Field Serivces LLC,ETC Field Services LLC,Spearman,TX,Ochiltree,79081,2017,100,80,1210,0,1657,-101.04801,36.0858,"EIA-757, Natural Gas Processing Plant Survey"
-104.88419,40.08894,412,Spindle,"DCP Operating Company, LP","DCP Operating Company, LP",Ft. Lupton,CO,Weld,80621,2017,39,39,1275,0,7270,-104.88419,40.08894,"EIA-757, Natural Gas Processing Plant Survey"
-98.21925,37.37154,413,Spivey,Atlas KS Energy LLC,"Pioneer Exploration, LLC",Harper,KS,Harper,67058-8432,2017,22,8,1190,0,7620,-98.21925,37.37154,"EIA-757, Natural Gas Processing Plant Survey"
-101.79196,31.85783,414,Spraberry Plant,"Navitas Midstream Midland Basin, LLC", ,Midland,TX,Midland,79706,2017,125,63,1300,0,0,-101.79196,31.85783,"EIA-757, Natural Gas Processing Plant Survey"
-103.51904,48.22924,415,SpringBrook Gas Plant,1804 Ltd,1804 LTD,Williston,ND,Williams,58801,2017,0,0,0,0,0,-103.51904,48.22924,"EIA-757, Natural Gas Processing Plant Survey"
-103.94408,48.22825,416,Stateline Natural Gas Processing Plant,ONEOK,ONEOK,Williston,ND,Williams,58801,2017,220,167,1424,0,17358,-103.94408,48.22825,"EIA-757, Natural Gas Processing Plant Survey"
-97.70102,34.46858,417,Stephens Natural Gas Processing,ONEOK,ONEOK,Velma,OK,Stephens,73491,2017,30,27,1145,0,500,-97.70102,34.46858,"EIA-757, Natural Gas Processing Plant Survey"
-101.23611,31.97028,418,Sterling Plant,Targa Resources,Targa Resources,Sterling City,TX,Sterling,76951,2017,90,85,1250,0,1610,-101.23611,31.97028,"EIA-757, Natural Gas Processing Plant Survey"
-94.34102,31.73996,419,Stockman Plant,Enable Midstream Partners,Enable Midstream Partners,Center,TX,Shelby,75935,2017,15,1,1070,0,714,-94.34102,31.73996,"EIA-757, Natural Gas Processing Plant Survey"
-101.81559,35.9621,420,Sunray Gas Plant,ETC Field Services LLC,ETC Field Services LLC,Sunray,TX,Moore,79086,2017,165,145,1185,0,4050,-101.81559,35.9621,"EIA-757, Natural Gas Processing Plant Survey"
-100.58885,30.5069,421,Sutton Sonora Plant,"DCP Operating Company, LP","DCP Operating Company, LP",Sonora,TX,Sutton,76493,2017,62,62,1175,0,4523,-100.58885,30.5069,"EIA-757, Natural Gas Processing Plant Survey"
-97.39789,33.17153,422,Sweetwater Creek Gas Plant,Aethon United BR LP,Aethon Energy Operating LLC,Decatur,TX,Wise,76234,2017,12,8,1120,0,5714,-97.39789,33.17153,"EIA-757, Natural Gas Processing Plant Survey"
-99.80493,35.36307,423,Sweetwater Plant,"Enbridge G&P (Oklahoma), L.P.","Enbridge G & P (Oklahoma), L.P.",Sayre,OK,Beckham,73662,2017,125,65,1143,0,0,-99.80493,35.36307,"EIA-757, Natural Gas Processing Plant Survey"
