GEOID,2019_Population,INTPTLAT,INTPTLONG                                                                                                               
8057,1392,40.663432,-106.329248
8059,582881,39.579511,-105.245462
8061,1406,38.387663,-102.756849
8063,7097,39.30534,-102.603023
8065,8127,39.205341,-106.350079
8067,56221,37.287367,-107.839718
8069,356899,40.658093,-105.486764
8071,14506,37.318831,-104.04411
8073,5701,38.99374,-103.507555
8075,22409,40.728091,-103.090464
8077,154210,39.019524,-108.460571
8079,769,37.549067,-107.003236
8081,13283,40.610864,-108.217154
8083,26183,37.338025,-108.595786
8085,42758,38.407507,-108.266282
8087,29068,40.263159,-103.81221
8089,18278,37.88417,-103.72126
8091,4952,38.154731,-107.78848
8093,18845,39.118914,-105.717648
8095,4265,40.594712,-102.345105
8097,17767,39.217541,-106.916162
8099,12172,37.958181,-102.392161
8101,168424,38.162765,-104.484668
8103,6324,39.972622,-108.200716
8105,11267,37.485853,-106.453128
8107,25638,40.483664,-106.987702
8109,6824,38.031651,-106.234666
8111,728,37.781049,-107.670257
8113,8179,38.009319,-108.427263
8115,2248,40.871568,-102.355358
8117,31011,39.621023,-106.137555
8119,25388,38.869976,-105.187365
8121,4908,39.96579,-103.209744
8123,324492,40.555961,-104.383666
8125,10019,40.00077,-102.421649
9001,943332,41.227413,-73.367061
9003,891720,41.806053,-72.732916
9005,180333,41.791883,-73.235404
9007,162436,41.433003,-72.52278
9009,854757,41.349718,-72.900203
9011,265206,41.472652,-72.108634
9013,150721,41.858081,-72.340978
9015,116782,41.824999,-71.990702
10001,180786,39.097088,-75.502982
10003,558753,39.575915,-75.644132
10005,234225,38.673227,-75.337024
11001,705749,38.904247,-77.016517
12001,269043,29.67574,-82.357221
12003,29210,30.324442,-82.302284
12005,174705,30.15914,-85.534395
12007,28201,29.952386,-82.166698
12009,601942,28.298311,-80.700333
12011,1952778,26.193535,-80.476683
12013,14105,30.388801,-85.197915
12015,188910,26.906396,-82.003657
12017,149657,28.850292,-82.595552
12019,219252,29.986584,-81.865036
12021,384902,26.118786,-81.400955
12023,71686,30.221651,-82.623371
12027,38001,27.190581,-81.806253
12029,16826,29.552675,-83.236232
12031,957755,30.335245,-81.648113
12033,318316,30.529998,-87.320322
12035,115081,29.474891,-81.286253
12037,12125,29.677794,-84.815213
12039,45660,30.578687,-84.612607
12041,18582,29.723456,-82.795801
12043,13811,26.95481,-81.19082
12045,13639,29.859238,-85.272013
12047,14428,30.491187,-82.951071
12049,26937,27.492846,-81.82158
12051,42022,26.539967,-81.152114
12053,193920,28.555995,-82.525969
12055,106221,27.34108,-81.342353
12057,1471968,27.893154,-82.379991
12059,19617,30.862007,-85.815939
12061,159923,27.700528,-80.574789
12063,46414,30.789249,-85.208814
12065,14246,30.396898,-83.921761
12067,8422,29.990066,-83.17851
12069,367118,28.764113,-81.712282
12071,770577,26.563273,-81.984182
12073,293582,30.45931,-84.2778
12075,41503,29.271854,-82.831233
12077,8354,30.259849,-84.86858
12079,18493,30.447233,-83.470416
12081,403253,27.475556,-82.393144
12083,365579,29.202805,-82.0431
12085,161000,27.083604,-80.398201
12086,2716940,25.616009,-80.50375
12087,74228,25.58612,-81.022603
12089,88625,30.605963,-81.765087
12091,210738,30.614325,-86.59108
12093,42168,27.385592,-80.887388
12095,1393452,28.514391,-81.323284
12097,375751,28.059027,-81.139312
12099,1496770,26.649126,-80.448354
12101,553947,28.309823,-82.511006
12103,974996,27.905342,-82.798066
12105,724777,27.953649,-81.693534
12107,74521,29.593896,-81.732039
12109,264672,29.890487,-81.40004
12111,328297,27.379814,-80.443536
12113,184313,30.675348,-87.018919
12115,433742,27.225327,-82.423714
12117,471826,28.690065,-81.131975
12119,132420,28.715444,-82.069952
12121,44417,30.189244,-82.992754
12123,21569,29.967146,-83.639573
12125,15237,30.05428,-82.366918
12127,553284,29.057769,-81.161792
12129,33739,30.091335,-84.359111
12131,74071,30.571247,-86.162798
12133,25473,30.602102,-85.655805
13001,18386,31.739712,-82.290103
13003,8165,31.296806,-82.878151
13005,11164,31.55021,-82.451433
13007,3038,31.31958,-84.454881
13009,44890,33.05949,-83.255457
13011,19234,34.351922,-83.498441
13013,83240,33.992009,-83.712303
13015,107738,34.240917,-84.838188
13017,16700,31.740772,-83.147197
13019,19397,31.288652,-83.22787
13021,153159,32.808845,-83.694194
13023,12873,32.435403,-83.331717
13025,19109,31.197334,-81.982978
13027,15457,30.822934,-83.581905
13029,39627,32.017969,-81.438543
13031,79608,32.394481,-81.741618
13033,22383,33.060181,-82.000164
13035,24936,33.290355,-83.958221
13037,6189,31.521279,-84.62629
13039,54666,30.913358,-81.642019
13043,10803,32.40395,-82.071266
13045,119992,33.582237,-85.080527
13047,67580,34.900212,-85.139385
13049,13392,30.779904,-82.139644
13051,289430,31.980404,-81.085184
