Queue Number,Name,Commercial Name,State,County,Status,Transmission Owner,MFO,MW Energy,MW Capacity,MW In Service,Capacity or Energy,Project Type,Fuel,Project (AC/DC),Rights (MW),Initial Study,Feasibility Study,Feasibility Study Status,System Impact Study,System Impact Study Status,Facilities Study,Facilities Study Status,Interim Interconnection Service Agreement,Interim/Interconnection Service Agreement Status,Wholesale Market Participation Agreement,Construction Service Agreement,Construction Service Agreement Status,Upgrade Construction Service Agreement,Upgrade Construction Service Agreement Status,Backfeed Date,Queue Date,Long-Term Firm Service Start Date,Long-Term Firm Service End Date,Test Energy Date,Withdrawal Date,Withdrawn Remarks,Projected In Service Date,Revised In Service Date,Actual In Service Date,Attachment Type,Alternate Queue,Sliding Queue
AF1-143,Lick Run 115 kV,,PA,Somerset,Active,PENELEC,100,100,60,,Capacity,Generation Interconnection,Solar,,,N/A,https://www.pjm.com/pub/planning/project-queues/feas_docs/af1143_fea.pdf,Document Posted,https://www.pjm.com/pub/planning/project-queues/impact_studies/af1143_imp.pdf,Document Posted,,In Progress,N/A,,N/A,,,N/A,N/A,,9/18/2019,N/A,N/A,,,,6/1/2023,,,N,No,
AF1-144,Hayden 345 kV,,OH,Franklin,Active,AEP,100,100,66.9,,Capacity,Generation Interconnection,Solar,,,N/A,https://www.pjm.com/pub/planning/project-queues/feas_docs/af1144_fea.pdf,Document Posted,https://www.pjm.com/pub/planning/project-queues/impact_studies/af1144_imp.pdf,Document Posted,,In Progress,N/A,,N/A,,,N/A,N/A,,9/18/2019,N/A,N/A,,,,12/1/2023,,,N,No,
AF1-145,Flanders-Netcong 34.5 kV,,NJ,Morris,Withdrawn,JCPL,20,20,8.4,,Capacity,Generation Interconnection,Solar,,,N/A,,Withdrawn,,,,,N/A,,N/A,,,N/A,N/A,,9/18/2019,N/A,N/A,,10/7/2019,,10/1/2021,,,N,No,
AF1-146,Hoytdale -McClelland 345 kV,,PA,Lawrence,Active,ATSI,202,201.95,121.17,,Capacity,Generation Interconnection,Solar,,,N/A,https://www.pjm.com/pub/planning/project-queues/feas_docs/af1146_fea.pdf,Document Posted,https://www.pjm.com/pub/planning/project-queues/impact_studies/af1146_imp.pdf,Document Posted,,In Progress,N/A,,N/A,,,N/A,N/A,,9/18/2019,N/A,N/A,,,,12/31/2021,,,N,No,
AF1-147,Poland Rd-Runway DP 230kV,Dulles Solar,VA,Loudoun,Engineering and Procurement,Dominion,100,100,60,,Capacity,Generation Interconnection,Solar,,,N/A,https://www.pjm.com/pub/planning/project-queues/feas_docs/af1147_fea.pdf,Document Posted,https://www.pjm.com/pub/planning/project-queues/impact_studies/af1147_imp.pdf,Document Posted,https://www.pjm.com/pub/planning/project-queues/facilities/af1147_fac.pdf,Document Posted,https://www.pjm.com/pub/planning/project-queues/isa/af1_147_isa.pdf,Document Posted,N/A,https://www.pjm.com/pub/planning/project-queues/csa/af1_147_csa.pdf,Document Posted,N/A,N/A,,9/19/2019,N/A,N/A,,,,12/31/2023,12/31/2023,,N,No,
AF1-148,Sorenson-Desoto 345 kV,,IN,Wells,Active,AEP,159,159,95.4,,Capacity,Generation Interconnection,Solar; Storage,,,N/A,https://www.pjm.com/pub/planning/project-queues/feas_docs/af1148_fea.pdf,Document Posted,https://www.pjm.com/pub/planning/project-queues/impact_studies/af1148_imp.pdf,Document Posted,,In Progress,N/A,,N/A,,,N/A,N/A,,9/19/2019,N/A,N/A,,,,4/30/2023,,,N,No,
AF1-149,Graymont-Zion 46 kV,,PA,Centre,Withdrawn,APS,20,20,12,,Capacity,Generation Interconnection,Solar,,,N/A,https://www.pjm.com/pub/planning/project-queues/feas_docs/af1149_fea.pdf,Document Posted,https://www.pjm.com/pub/planning/project-queues/impact_studies/af1149_imp.pdf,Document Posted,,,N/A,,N/A,,,N/A,N/A,,9/19/2019,N/A,N/A,,10/1/2020,,3/1/2021,,,N,No,
AF1-150,Midfield 22.9 kV,Pittsburgh International Airport,PA,Allegheny,In Service,DL,14.4,14.4,4.28,14.4,Capacity,Generation Interconnection,Natural Gas,,,N/A,https://www.pjm.com/pub/planning/project-queues/feas_docs/af1150_fea.pdf,Document Posted,https://www.pjm.com/pub/planning/project-queues/impact_studies/af1150_imp.pdf,Document Posted,,Not Required,N/A,Wholesale Market Participation Agreement,https://www.pjm.com/pub/planning/project-queues/wmpa/af1150_wmpa.pdf,https://www.pjm.com/pub/planning/project-queues/csa/af1150_wmpa.pdf,Not Required,N/A,N/A,4/1/2021,9/19/2019,N/A,N/A,4/1/2021,,,9/1/2021,9/1/2021,10/28/2021,N,No,
AF1-151,Fayetteville 34.5 kV,,PA,Franklin,Withdrawn,APS,20,20,8.4,,Capacity,Generation Interconnection,Solar,,,N/A,https://www.pjm.com/pub/planning/project-queues/feas_docs/af1151_fea.pdf,Document Posted,,,,,N/A,,N/A,,,N/A,N/A,,9/19/2019,N/A,N/A,,3/6/2020,,12/31/2022,,,N,No,
AF1-152,Swamp 230 kV,,NC,Pasquotank,Active,Dominion,50,50,30,,Capacity,Generation Interconnection,Solar,,,N/A,https://www.pjm.com/pub/planning/project-queues/feas_docs/af1152_fea.pdf,Document Posted,https://www.pjm.com/pub/planning/project-queues/impact_studies/af1152_imp.pdf,Document Posted,,In Progress,N/A,,N/A,,,N/A,N/A,,9/19/2019,N/A,N/A,,,,10/2/2023,,,N,No,
AF1-153,Motion-Ridgeway 46 kV,,PA,Elk,Active,APS,20,20,12,,Capacity,Generation Interconnection,Solar,,,N/A,https://www.pjm.com/pub/planning/project-queues/feas_docs/af1153_fea.pdf,Document Posted,https://www.pjm.com/pub/planning/project-queues/impact_studies/af1153_imp.pdf,Document Posted,,In Progress,N/A,,N/A,,,N/A,N/A,,9/19/2019,N/A,N/A,,,,5/1/2022,,,N,No,
AF1-154,Dauphin,,PA,Dauphin,Withdrawn,PPL,20,20,12,,Capacity,Generation Interconnection,Solar,,,N/A,,Withdrawn,,,,,N/A,,N/A,,,N/A,N/A,,9/19/2019,N/A,N/A,,10/8/2019,,5/1/2022,,,N,No,
AF1-155,Paper City-Wilcox 46 kV,FR-Boyer Mill Guilford34.5,PA,Elk,Suspended,APS,20,20,12,,Capacity,Generation Interconnection,Solar,,,N/A,https://www.pjm.com/pub/planning/project-queues/feas_docs/af1155_fea.pdf,Document Posted,https://www.pjm.com/pub/planning/project-queues/impact_studies/af1155_imp.pdf,Document Posted,,Not Required,N/A,Wholesale Market Participation Agreement,https://www.pjm.com/pub/planning/project-queues/wmpa/af1155_wmpa.pdf,https://www.pjm.com/pub/planning/project-queues/csa/af1155_wmpa.pdf,Not Required,N/A,N/A,,9/19/2019,N/A,N/A,,,,2/28/2023,2/28/2023,,N,No,
AF1-156,Braidwood-Davis Creek,,IL,Kankakee,Active,ComEd,150,150,90,,Capacity,Generation Interconnection,Solar,,,N/A,https://www.pjm.com/pub/planning/project-queues/feas_docs/af1156_fea.pdf,Document Posted,https://www.pjm.com/pub/planning/project-queues/impact_studies/af1156_imp.pdf,Document Posted,,In Progress,N/A,,N/A,,,N/A,N/A,,9/19/2019,N/A,N/A,,,,9/30/2021,,,N,No,
AF1-157,Laurel-Sussex 69 kV,,DE,Sussex,Withdrawn,DPL,25,25,15,,Capacity,Generation Interconnection,Solar,,,N/A,https://www.pjm.com/pub/planning/project-queues/feas_docs/af1157_fea.pdf,Document Posted,https://www.pjm.com/pub/planning/project-queues/impact_studies/af1157_imp.pdf,Document Posted,,,N/A,,N/A,,,N/A,N/A,,9/20/2019,N/A,N/A,,10/12/2020,,12/31/2022,,,N,No,
AF1-158,Edison-Gravel Pit 138 kV,,IN,St. Joseph,Active,AEP,150,150,90,,Capacity,Generation Interconnection,Solar; Storage,,,N/A,https://www.pjm.com/pub/planning/project-queues/feas_docs/af1158_fea.pdf,Document Posted,https://www.pjm.com/pub/planning/project-queues/impact_studies/af1158_imp.pdf,Document Posted,,In Progress,https://www.pjm.com/pub/planning/project-queues/isa/af1_158_isa2.pdf,Interim Study,N/A,,,N/A,N/A,,9/20/2019,N/A,N/A,,,,4/30/2023,,,N,No,
AF1-159,Martinsville-Wilmington 69 kV,,OH,Clinton,Active,Dayton,50,0,11,,Capacity,Generation Interconnection,Solar,,,N/A,https://www.pjm.com/pub/planning/project-queues/feas_docs/af1159_fea.pdf,Document Posted,https://www.pjm.com/pub/planning/project-queues/impact_studies/af1159_imp.pdf,Document Posted,,In Progress,N/A,,N/A,,,N/A,N/A,,9/20/2019,N/A,N/A,,,,3/31/2021,,,N,No,
AF1-160,Silver Lake 69 kV,,NJ,Camden,Withdrawn,AEC,40,20,10,,Capacity,Generation Interconnection,Storage,,,N/A,https://www.pjm.com/pub/planning/project-queues/feas_docs/af1160_fea.pdf,Document Posted,https://www.pjm.com/pub/planning/project-queues/impact_studies/af1160_imp.pdf,Document Posted,,Not Required,,Withdrawn,N/A,,Withdrawn,N/A,N/A,,9/20/2019,N/A,N/A,,3/22/2022,,11/1/2021,,,N,No,
AF1-161,Valley 138 kV,,MI,Van Buren,Active,AEP,50,50,25,,Capacity,Generation Interconnection,Storage,,,N/A,https://www.pjm.com/pub/planning/project-queues/feas_docs/af1161_fea.pdf,Document Posted,https://www.pjm.com/pub/planning/project-queues/impact_studies/af1161_imp.pdf,Document Posted,,In Progress,N/A,,N/A,,,N/A,N/A,,9/20/2019,N/A,N/A,,,,3/1/2022,,,N,No,
AF1-162,Inez 138 kV,,KY,Martin,Active,AEP,300,100,60,,Capacity,Generation Interconnection,Storage,,,N/A,https://www.pjm.com/pub/planning/project-queues/feas_docs/af1162_fea.pdf,Document Posted,https://www.pjm.com/pub/planning/project-queues/impact_studies/af1162_imp.pdf,Document Posted,,In Progress,https://www.pjm.com/pub/planning/project-queues/isa/af1_162_isa2.pdf,Interim Study,N/A,,,N/A,N/A,,9/20/2019,N/A,N/A,,,,12/1/2023,,,N,No,
AF1-163,Barren-Summer Shade 161 kV,,KY,Barren,Withdrawn,EKPC,120,120,80.8,,Capacity,Generation Interconnection,Solar,,,N/A,,Withdrawn,,,,,N/A,,N/A,,,N/A,N/A,,9/20/2019,N/A,N/A,,12/11/2019,,6/1/2022,,,N,No,
AF1-164,Southwest Lima 345 kV,,OH,Allen,Active,AEP,300,300,195,,Capacity,Generation Interconnection,Solar,,,N/A,https://www.pjm.com/pub/planning/project-queues/feas_docs/af1164_fea.pdf,Document Posted,https://www.pjm.com/pub/planning/project-queues/impact_studies/af1164_imp.pdf,Document Posted,,In Progress,https://www.pjm.com/pub/planning/project-queues/isa/af1_164_isa2.pdf,Interim Study,N/A,,,N/A,N/A,,9/20/2019,N/A,N/A,,,,6/30/2022,,,N,No,
AF1-165,Campbelltown-Millars Quarry 69 kV,,PA,Lebanon,Active,ME,15,15,9,,Capacity,Generation Interconnection,Solar,,,N/A,https://www.pjm.com/pub/planning/project-queues/feas_docs/af1165_fea.pdf,Document Posted,https://www.pjm.com/pub/planning/project-queues/impact_studies/af1165_imp.pdf,Document Posted,,In Progress,N/A,,N/A,,,N/A,N/A,,9/23/2019,N/A,N/A,,,,5/1/2022,,,N,No,
AF1-166,Target-Chambers No.5 34.5 kV,FR-BOYER MILL 1,PA,Franklin,Suspended,APS,16,16,9.6,,Capacity,Generation Interconnection,Solar,,,N/A,https://www.pjm.com/pub/planning/project-queues/feas_docs/af1166_fea.pdf,Document Posted,https://www.pjm.com/pub/planning/project-queues/impact_studies/af1166_imp.pdf,Document Posted,,Not Required,N/A,Wholesale Market Participation Agreement,https://www.pjm.com/pub/planning/project-queues/wmpa/af1166_wmpa.pdf,https://www.pjm.com/pub/planning/project-queues/csa/af1166_wmpa.pdf,Not Required,N/A,N/A,,9/23/2019,N/A,N/A,,,,2/28/2023,2/28/2023,,N,No,
AF1-167,West Freedom-C&K Coal 25 kV,,PA,Clarion,Active,APS,13.5,13.51,8.1,,Capacity,Generation Interconnection,Solar,,,N/A,https://www.pjm.com/pub/planning/project-queues/feas_docs/af1167_fea.pdf,Document Posted,https://www.pjm.com/pub/planning/project-queues/impact_studies/af1167_imp.pdf,Document Posted,,In Progress,N/A,,N/A,,,N/A,N/A,,9/23/2019,N/A,N/A,,,,6/1/2022,,,N,No,
