Utility ID,Utility Name,Plant Code,Plant Name,State,County,Generator ID,Status,Technology,Prime Mover,Sector Name,Sector,Nameplate Capacity (MW),Summer Capacity (MW),Winter Capacity (MW),Operating Month,Operating Year,Nameplate Energy Capacity (MWh),Maximum Charge Rate (MW),Maximum Discharge Rate (MW),Storage Technology 1,Storage Technology 2,Storage Technology 3,Storage Technology 4,Nameplate Reactive Power Rating,Storage Enclosure Type,Arbitrage,Frequency Regulation,Load Following,Ramping / Spinning Reserve,Co-Located Renewable Firming,Transmission and Distribution Deferral,System Peak Shaving,Load Management,Voltage or Reactive Power Support,Backup Power,Excess Wind and Solar Generation
58462,Battery Utility of Ohio LLC,58475,Battery Utility of Ohio,OH,Delaware,BOU,OP,Batteries,BA,IPP Non-CHP,2,4.0,4.0,4.0,3,2014,2.0,4.0,4.0,LIB,,,,4.0,CS,,Y,,,,,,,,,
58489,OCI Solar Power,58537,OCI Alamo Solar I Hybrid,TX,Bexar,ASTRO,OP,Batteries,BA,IPP Non-CHP,2,1.0,1.0,1.0,8,2016,0.3,1.0,1.0,LIB,,,,0.6,CS,,Y,,,,,,,,,
13781,Northern States Power Co - Minnesota,58579,Laverne Battery,MN,Rock,1,OP,Batteries,BA,Electric Utility,1,1.1,1.0,1.0,1,2013,7.6,1.0,1.0,NAB,,,,1.3,CS,,,,,,Y,,,,,
58544,Sierra Nevada Brewing Co,58585,Sierra Nevada Brewing Co Hybrid,CA,Butte,BESS,OP,Batteries,BA,Industrial CHP,7,0.5,0.5,0.5,2,2017,1.0,0.5,0.5,LIB,,,,0.5,OT,,,,,,,Y,,,,Y
58549,County of Alameda GSA,58625,Santa Rita Jail Hybrid,CA,Alameda,SRJBA,OS,Batteries,BA,IPP CHP,3,2.0,2.0,2.0,7,2012,4.0,0.3,0.3,LIB,,,,2.0,CS,,,,,,,Y,,,,
10071,Kauai Island Utility Cooperative,58639,KRS I Anahola Solar Hybrid,HI,Kauai,B5B6,OP,Batteries,BA,Electric Utility,1,6.0,6.0,6.0,8,2015,4.6,2.0,6.0,LIB,,,,6.0,CS,,Y,,,Y,,,,,Y,Y
15473,Public Service Co of NM,58899,Prosperity Energy Storage Facility Hybrid,NM,Bernalillo,GEN-2,OP,Batteries,BA,Electric Utility,1,0.8,0.8,0.8,9,2011,1.3,0.5,0.5,PBB,,,,0.8,CS,Y,,,,,,Y,Y,,,Y
14328,Pacific Gas & Electric Co.,59256,Vaca Dixon Battery Storage System,CA,Solano,BAT1,OP,Batteries,BA,Electric Utility,1,2.0,2.0,2.0,1,2013,14.0,2.0,2.0,NAB,,,,2.5,CS,Y,Y,,Y,,,,,,,
14328,Pacific Gas & Electric Co.,59257,Yerba Buena,CA,Santa Clara,YB1,OP,Batteries,BA,Electric Utility,1,4.0,4.0,4.0,11,2013,28.0,4.0,4.0,NAB,,,,5.0,CS,Y,Y,,Y,,,,,,Y,
17609,Southern California Edison Co,59661,Tehachapi Energy Storage Project,CA,Kern,TSP1,OP,Batteries,BA,Electric Utility,1,8.0,8.0,8.0,4,2016,32.0,8.0,8.0,LIB,,,,4.0,BL,N,N,,Y,N,,,,,,
10000,Evergy Metro,59772,KCP&L SmartGrid Innovation Park,MO,Jackson,1,SB,Batteries,BA,Electric Utility,1,1.0,1.0,1.0,6,2012,1.0,1.0,1.0,LIB,,,,1.3,CS,,,,,,,Y,,,,
59712,AES Tait LLC,59949,AES Warrior Run Energy Storage Project,MD,Allegany,BESS1,OP,Batteries,BA,IPP Non-CHP,2,11.0,5.0,5.0,12,2015,5.0,5.0,5.0,LIB,,,,5.0,BL,,Y,,,,,,,,,
49893,Invenergy Services LLC,59957,Grand Ridge Battery Projects,IL,LaSalle,GIVB,OP,Batteries,BA,IPP Non-CHP,2,1.5,1.5,1.5,12,2013,1.0,1.5,1.5,LIB,,,,0.5,CT,,Y,,,,,,,,,
49893,Invenergy Services LLC,59957,Grand Ridge Battery Projects,IL,LaSalle,GRES,OP,Batteries,BA,IPP Non-CHP,2,31.5,31.5,31.5,3,2015,12.5,31.5,31.5,LIB,,,,0.5,CT,,Y,,,,,,,,,
59718,West Chicago Battery Storage LLC,59959,Elwood Energy Storage Center,IL,DuPage,WCBS,OP,Batteries,BA,IPP Non-CHP,2,19.8,19.8,19.8,10,2015,7.9,19.8,19.8,LIB,,,,22.0,CS,N,Y,,,,,,,,,
59717,Joliet Battery Storage LLC,59960,Jake Energy Storage Center,IL,Will,JBS,OP,Batteries,BA,IPP Non-CHP,2,19.8,19.8,19.8,9,2015,7.9,19.8,19.8,LIB,,,,22.0,CS,,Y,,,,,,,,,
6452,Florida Power & Light Co,59993,Babcock Solar Energy Center Hybrid,FL,Charlotte,BA,OP,Batteries,BA,Electric Utility,1,10.0,10.0,10.0,3,2018,40.0,10.0,10.0,LIB,,,,7.0,CS,,,,,Y,,,,,,Y
733,Appalachian Power Co,59995,AEP Milton NaS,WV,Cabell,1,OP,Batteries,BA,Electric Utility,1,2.0,2.0,2.0,11,2009,2.0,2.0,2.0,NAB,,,,2.0,CS,,,,,,,,Y,,,
17470,PUD 1 of Snohomish County,60016,MESA 1,WA,Snohomish,A,OP,Batteries,BA,Electric Utility,1,1.0,1.0,1.0,7,2015,0.5,1.0,1.0,LIB,,,,0.9,CS,Y,,,,,,Y,Y,,,
17470,PUD 1 of Snohomish County,60016,MESA 1,WA,Snohomish,B,OP,Batteries,BA,Electric Utility,1,1.0,1.0,1.0,2,2016,0.5,1.0,1.0,LIB,,,,0.9,CS,Y,,,,,,Y,Y,,,
6452,Florida Power & Light Co,60061,Citrus Solar Energy Center Hybrid,FL,DeSoto,BA,OP,Batteries,BA,Electric Utility,1,4.0,4.0,4.0,3,2018,16.0,4.0,4.0,LIB,,,,0.0,CS,,,,,Y,,,,,,Y
61123,Upton County Solar 2 LLC,60123,Castle Gap Solar Hybrid,TX,Upton,BAT1,OP,Batteries,BA,IPP Non-CHP,2,9.9,9.9,9.9,6,2019,42.0,9.9,9.9,LIB,,,,4.8,CS,,Y,Y,,,,,,,,Y
60947,Tesla Inc.,60231,Genentech-Oceanside Hybrid,CA,San Diego,BA1,OP,Batteries,BA,IPP Non-CHP,2,2.0,2.0,2.0,4,2016,2.0,1.0,1.0,LIB,,,,1.0,CS,,,,,,,,Y,,Y,Y
60038,Silicon Valley Clean Water,60249,Silicon Valley Clean Water,CA,San Mateo,BES,OP,Batteries,BA,IPP CHP,3,1.0,1.0,1.0,11,2020,2.0,1.0,1.0,LIB,,,,1.0,CS,,,,,,,Y,,,,
