"","date","hour.ending","hour","AECO","AEPAPT","AEPIMP","AEPKPT","AEPOPT","AP","BC","CE","DAY","DEOK","DOM","DPLCO","DUQ","EASTON","EKPC","JC","ME","OE","OVEC","PAPWR","PE","PEPCO","PLCO","PN","PS","RECO","SMECO","UGI","VMEU"
"7933",2019-11-27,13,7933,992.721,4206.569,3254.416,608.242,6117.741,5472.501,3356.004,11727.933,2011,2934.096,11364.433,2006.422,1502.305,30.384,1327.994,2452.91,1820.534,7110,43,538.203,4446.509,2877.775,4710.861,2252.425,4876.237,163.543,379.04,123.421,77.951
"7934",2019-11-27,14,7934,967.714,4122.311,3312.615,604.648,6075.632,5329.461,3413.323,11723.019,2028,2947.288,11262.34,1957.815,1478.463,28.864,1321.969,2392.415,1808.817,7159.9,42,531.884,4377.209,2904.985,4692.723,2151.359,4776.67,161.97,373.024,124.631,76.634
"7935",2019-11-27,15,7935,964.156,4002.231,3275.652,602.09,6044.621,5247.007,3379.255,11740.216,2053,2941.038,11144.476,1956.639,1431.789,29.383,1318.509,2441.553,1766.819,7130.927,41,520.127,4385.866,2865.347,4624.061,2113.956,4842.935,162.997,376.798,125.759,76.286
"7936",2019-11-27,16,7936,1006.222,3947.137,3219.303,597.285,6095.037,5186.581,3388.588,11676.047,2055,2947.842,11075.83,1981.768,1423.056,28.881,1318.579,2466.35,1761.044,7105.446,36,515.043,4391.195,2860.39,4577.808,2068.657,4858.076,163.281,380.918,123.93,78.86
"7937",2019-11-27,17,7937,1075.689,3970.117,3272.838,609.236,6248.872,5210.106,3456.906,11681.466,2088,2966.658,11168.09,2043.493,1446.839,29.86,1278.508,2611.642,1803.566,7238.375,47,528.742,4526.02,2909.219,4646.642,2067.984,5015.919,171.68,392.781,128.182,81.435
"7938",2019-11-27,18,7938,1134.056,4187.659,3331.938,641.834,6490.061,5517.548,3633.809,12007.921,2151,3107.756,11732.451,2133.731,1522.186,30.322,1413.873,2728.189,1849.09,7451.373,45,558.645,4689.82,3000.777,4784.791,2138.801,5166.42,178.032,418.268,133.148,83.4
"7939",2019-11-27,19,7939,1103.029,4300.424,3363.01,662.514,6500.853,5550.727,3582.717,12187.337,2145,3104.578,11610.041,2110.852,1501.673,29.818,1567.337,2694.284,1822.905,7411.997,42,542.165,4613.602,2881.205,4704.763,2138.005,5073.211,174.98,418.075,133.397,82.143
"7940",2019-11-27,20,7940,1080.532,4323.566,3342.886,677.283,6440.811,5549.127,3500.69,11854.075,2098,3080.946,11351.271,2055.162,1478.91,28.781,1548.637,2609.787,1785.493,7309.719,45,535.917,4462.336,2801.01,4595.875,2093.383,4916.435,168.742,410.272,130.91,79.567
"7941",2019-11-27,21,7941,1029.936,4329.012,3264.534,678.954,6329.096,5432.276,3391.014,11594.799,2057,3025.934,11101.611,1999.662,1458.079,27.513,1548.588,2513.068,1730.206,7130.87,42,533.393,4309.308,2673.803,4465.821,2057.78,4801.746,163.098,397.501,127.245,77.519
"7942",2019-11-27,22,7942,973.681,4260.804,3142.182,681.266,6149.716,5311.553,3263.57,11297.722,1974,2946.839,10742.585,1905.479,1415.705,25.975,1604.233,2377.466,1650.631,6938.111,38,515.649,4158.301,2566.955,4279.374,1990.304,4623.221,155.645,378.298,121.674,74.369
"7943",2019-11-27,23,7943,940.044,4167.405,3021.345,674.715,5839.869,5066.831,3107.215,10878.903,1859,2808.576,10232.794,1795.621,1361.965,24.629,1570.823,2206.755,1552.489,6543.63,38,483.758,3923.349,2452.471,4042.783,1876.561,4362.915,144.354,353.943,114.24,69.737
